,Close,Consumer Price Index: Total All Items for the United States,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Real M2 Money Stock,Unemployment Rate,Federal Funds Effective Rate,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average
1970-07-01,72.940002,0.515463917525775,7.04714037,0.40369,1540.1,5.0,7.0,7.64,38.9
1970-09-01,80.949997,0.512820512820515,7.121184091,0.55044,1559.2,5.4,6.75,7.47,39.2
1970-10-01,84.32,0.510204081632655,7.097174731,0.31782,1564.5,5.5,6.5,7.29,39.4
1970-12-01,87.470001,0.505050505050507,7.381000774,0.54251,1574.1,6.1,5.63,6.48,39.8
1971-02-01,96.419998,0.251256281407036,6.360389898,0.14831,1606.5,5.9,4.38,6.09,39.9
1971-03-01,97.0,0.250626566416041,5.533559236,0.0382,1624.7,6.0,3.63,6.12,40.0
1971-04-01,100.389999,0.250000000000001,5.338291383,0.31451,1641.9,5.9,4.0,5.58,40.1
1971-06-01,100.199997,0.744416873449134,5.273268229,0.68402,1661.7,5.9,4.75,6.36,40.5
1971-07-01,99.779999,0.246305418719197,5.199542864,0.32684,1673.9,6.0,5.25,6.69,40.6
1971-09-01,99.07,0.0,4.707522595,0.3391,1697.3,6.0,5.75,6.22,40.8
1971-10-01,98.93,0.245098039215687,4.41123702,0.0598,1707.6,5.8,5.38,6.0,40.9
1971-11-01,92.800003,0.0,3.978662385,0.30278,1718.5,6.0,5.13,5.8,41.0
1971-12-01,95.440002,0.488997555012227,3.708040621,0.31166,1728.2,6.0,3.75,5.92,41.1
1972-02-01,104.010002,0.486618004866182,3.864643731,0.21808,1752.9,5.7,3.25,6.09,41.4
1972-03-01,107.349998,0.242130750605328,4.078580445,0.23777,1771.7,5.8,3.25,6.04,41.4
